Empresa,Yhaguy,,,,,,,,,
,,,,,,,,,,
CODIGO,DESCRIPCION,FAMILIA,MARCA,ESTADO,SALDO,COSTO,MAYORISTA,DOLARES,MINORISTA,AUTOCENTRO
VAR RRCR 5722.6,REPARO CIL.RUEDA DEL/TRAS.708,REPUESTOS,VARGA,A,0,22353,27942,0,41913,41913
VAR RRCR 5723.4,REPARO CIL.RUEDA 709/912,REPUESTOS,VARGA,A,0,"41426,364",56961,"14,99",85442,65454
VAR RREB 0027.0,PISTON COMPR.C/ARO 010 PICUDO 75mm S.VARGA,REPUESTOS,VARGA,A,0,195877,255717,"56,826",383576,383576
VAR RRFD 0042.7,REPARO MORDAZA COMPLETO 709,REPUESTOS,VARGA,A,0,99185,136379,"35,889",204569,204569
VAR RRFD 0043.5,REPARO MORDAZA 709 C/PERNO GUIA,REPUESTOS,COMPRA LOCAL,A,0,"285278,182",407948,"107,355",611922,474902
VAR RRFD 0044.3,REPARO MORDAZA DEL.709  SOLO GOMAS,REPUESTOS,VARGA,A,0,"36860,909",50684,"13,338",76026,81354
VAR RRVA 0036.5,REPARO DESCARGA RAPIDA,REPUESTOS,VARGA,A,0,4144,4908,"1,292",7362,7362
VAR SRGO 0001.1,REPARO VALVULA REGUL.DE PRESION VL,REPUESTOS,VARGA,A,0,36366,45457,0,68186,68186
VAR TE2412 D,TERMINAL DIR.32mm P/ MB ELECTR.O500 1418 DEL.,REPUESTOS,VARGA,A,0,"288619,091",396851,"104,434",595277,0
VAR TE2412 I,TERMINAL DIR.32mm P/ MB ELECTR.O500 1418 DEL. IZ,REPUESTOS,VARGA,A,0,"279960,909",384946,"101,302",577419,0
VAR TRW-1784A,VALVULA ADMISION SC,REPUESTOS,VARGA,A,0,"40909,091",56250,"14,803",84375,0
VAR VX-2388AA,VALVULA ADMISION 18� ECOL.366,REPUESTOS,COMPRA LOCAL,A,0,"23112,645",31780,"8,363",47670,47670
VAR VX-2389AA,VALVULA ESCAPE 18� ECOL.366,REPUESTOS,COMPRA LOCAL,A,0,"35437,273",48726,"12,823",73089,44324
VCSC-TR415,VALVULA P/CUB.S/CAMARA,REPUESTOS,COMPRA LOCAL,A,0,2272,0,0,0,0
VDO D-22078,MINIRELAY 24V 5P MARILIA,REPUESTOS,COMPRA LOCAL,A,0,"18681,818",25688,"6,76",38532,0
VET VBA-1313RL,REPARO BOMBA AGUA 1113,REPUESTOS,VETORE,A,0,"89467,957",128400,"36,552",192600,189000
VET VBA-1356RL,REPARO BOMBA AGUA 1519 OM-355,REPUESTOS,VETORE,A,0,"230784,03",317400,"89,587",476000,510645
VET VBA-1376RL,REPARO BOMBA AGUA 1620 ESP.,REPUESTOS,VETORE,A,0,"191355,321",269400,"72,854",404100,610914
VET VBA-1386RL,REPARO BOMBA AGUA 1620,REPUESTOS,VETORE,A,0,"128953,2",177400,"48,527",266000,270414
VET VBA-366RL,REPARO BOMBA AGUA M/N,REPUESTOS,VETORE,A,0,"95858,525",135000,"39,162",202500,202500
VET VBA-400RL,REPARO BOMBA AGUA 1941/1935/371/1630 OM 447 449,REPUESTOS,VETORE,A,0,"275343,58",378600,"106,884",567800,609239
VET VBA-457RL,REPARO BOMBA AGUA 1938 ELECTR.457/400 125mm.,REPUESTOS,VETORE,A,0,"275343,58",378600,"106,884",567800,609239
VET VBA-458RL,REPARO BOMBA AGUA 1938 ELECTR.457/400 135mm.,REPUESTOS,VETORE,A,0,"346236,171",479000,"113,103",718500,718500
VET VBA-709RL,REPARO BOMBA AGUA MB709/712/914 OM364,REPUESTOS,VETORE,A,0,"133478,475",185000,0,277500,277500
VET VBA-788RL,REPARO BOMBA AGUA VOLVO N-10 TD-100/101,REPUESTOS,VETORE,A,0,"374479,42",515000,"139,74",772400,820413
VET VBA-802RL,REPARO BOMBA AGUA VOLVO NL-340 TD120/21/23,REPUESTOS,VETORE,A,0,"341777,3",470000,"127,537",705000,748769
VET VBA-904RL,REPARO BOMBA AGUA 712/914 ELECTR.OM-904,REPUESTOS,VETORE,A,0,"245976,594",346400,"100,492",520000,520000
VET VBA-985RL,REPARO BOMBA AGUA SC112/113 C/RUL,REPUESTOS,VETORE,A,0,"184171,769",257000,"74,543",385500,385500
VET VBA-986RL,REPARO BOMBA AGUA SC142,REPUESTOS,VETORE,A,0,"305760,32",420600,"115,787",630800,652017
VET VBD-315,BOMBA DE AGUA 1113/1313 C/TAPA,REPUESTOS,VETORE,A,0,"322783,991",473000,"131,259",709500,709500
VET VBD-316,BOMBA DE AGUA 1113/1313 S/TAPA,REPUESTOS,VETORE,A,0,"267017,238",376000,"109,088",564000,564000
VET VBD-355,BOMBA DE AGUA 1519,REPUESTOS,VETORE,A,0,"426387,18",586400,"159,11",879600,934134
VET VBD-365,BOMBA DE AGUA 366 C/TAPA,REPUESTOS,VETORE,A,0,"369688,351",529600,"141,776",794500,794500
VET VBD-366,BOMBA DE AGUA 366 S/TAPA,REPUESTOS,VETORE,A,0,"256285,907",363200,"104,704",544800,541500
VET VBD-375,BOMBA DE AGUA 1620 ESP.,REPUESTOS,VETORE,A,0,"553453,52",761000,"212,643",1141400,1212063
VET VBD-385,BOMBA DE AGUA 1620 INTERCOOLER C/TAPA,REPUESTOS,VETORE,A,0,"404406,52",556200,"155,377",834200,885651
VET VBD-386,BOMBA DE AGUA 366/1620 TURBO S/TAPA,REPUESTOS,VETORE,A,0,"301801,84",415000,"115,956",622400,660947
VET VBD-400,BOMBA DE AGUA MB OM 447/449,REPUESTOS,VETORE,A,0,"440225,756",645000,"179,036",967500,967500
VET VBD-457,BOMBA DE AGUA MB OM457,REPUESTOS,VETORE,A,0,"651254,493",895000,"210,736",1342500,1342500
VET VBD-610,BOMBA DE AGUA 709/912,REPUESTOS,VETORE,A,0,"236451,029",333000,"96,601",499500,499500
VET VBD-802,BOMBA DE AGUA VOLVO NL310/40/60 /N10/12,REPUESTOS,VETORE,A,0,"969887,32",1333600,"376,495",2000400,2146022
VET VBD-803,BOMBA DE AGUA VOLVO FM12/FH12,REPUESTOS,VETORE,A,0,"717522,28",986600,"292,673",1479800,1679829
VET VBD-904,BOMBA DE AGUA MB OM 904,REPUESTOS,VETORE,A,0,"420812,898",592600,"171,921",889000,889000
VET VBD-984,BOMBA DE AGUA SC112 /113,REPUESTOS,VETORE,A,0,"381685,739",537400,"155,935",806500,806500
VET VBD-988,BOMBA DE AGUA SC114R/T-124R/T SERIE 4 A�O .../2004,REPUESTOS,VETORE,A,0,"286496,103",400200,"116,133",600500,600500
VET VBD-989,BOMBA DE AGUA SC P93/R93/T93,REPUESTOS,VETORE,A,0,"375331,14",551800,"151,914",828000,828000
VET VBD-990,BOMBA DE AGUA SC P94 TODOS - SERIE 94,REPUESTOS,VETORE,A,0,"321179,13",441800,"128,108",662700,907955
VET VBD-991,BOMBA DE AGUA SC114R/T-124R/T- SERIE 4 A�O 2005/..,REPUESTOS,VETORE,A,0,"286496,103",530000,"149,275",795000,795000
VET VBO-10352,BOMBA DE ACEITE 314/352 COMPLETO 608/708/1113,REPUESTOS,VETORE,A,0,"531170,65",730400,"195,555",1095600,1221171
VET VBO-10353,BOMBA DE ACEITE 352 COMPLETO 1113,REPUESTOS,VETORE,A,0,"474469,557",723800,"178,55",1086000,1086000
VET VBO-10364,BOMBA DE ACEITE 364/364A/364LA/366 4 Y 6 CIL.,REPUESTOS,VETORE,A,0,"544161,48",748400,"211,235",1122600,1204040
VET VBO-10366,BOMBA DE ACEITE 366 COMPLETO,REPUESTOS,VETORE,A,0,543805,747800,"203,693",1121700,1331687
VET VBO-10982,BOMBA DE ACEITE SC111/112/113,REPUESTOS,VETORE,A,0,"1325810,18",1823000,"493,016",2734500,2467532
VET VCA-1568,CAMPANA EMBRAGUE ZF-S568,REPUESTOS,VETORE,A,0,"1083672,7",1490200,"402,1",2235200,2307891
VET VCC-0352,CARCAZA CAMBIO 1113,REPUESTOS,VETORE,A,0,"775670,307",1136400,"330,097",1705000,1705000
VET VCC-0366,CARCAZA CAMBIO M/N,REPUESTOS,VETORE,A,0,"829289,298",1157200,"321,216",1736000,1736000
VET VCD-6900,SOPORTE COJIN.EMPUJE 1113,REPUESTOS,VETORE,A,0,"26406,311",37200,"10,788",56000,56000
VET VCE-2352,CAMPANA EMBRAGUE 1113,REPUESTOS,VETORE,A,0,"469893,362",646200,"176,828",969200,965048
VET VCE-2366,CAMPANA EMBRAGUE M/N 366,REPUESTOS,VETORE,A,0,"667512,952",938800,"272,708",1408500,1408500
VET VCE-2368,CAMPANA EMBRAGUE 709/912/914,REPUESTOS,VETORE,A,0,"681271,312",951600,"263,883",1427500,1427500
VET VCE-3352,CAMPANA EMBRAGUE 1313/608,REPUESTOS,VETORE,A,0,"576698,679",805600,"233,418",1208500,1208500
VET VCE-3366,CAMPANA EMBRAGUE M/N 352 MIXTO,REPUESTOS,VETORE,A,0,"567888,146",784000,"214,523",1176000,1176000
VET VCE-4366,CAMPANA EMBRAGUE M/N 350mm,REPUESTOS,VETORE,A,0,"919400,69",1264200,"338,727",1896200,1651766
VET VCV-1366,CARCAZA VOLANTE M/N 350MM.,REPUESTOS,VETORE,A,0,"986543,119",1360000,"450,658",2040000,2040000
VET VCV-1367,CARCAZA VOLANTE M/N 366LA,REPUESTOS,VETORE,A,0,473016,674703,"126,203",1012055,1012055
VET VPR-7000,TUERCA REG.PI�ON 1113/1313,REPUESTOS,VETORE,A,0,"57816,557",81400,"23,621",122500,122500
VET VPR-7100,TUERCA REG.CORONA DIF.MB,REPUESTOS,VETORE,A,0,"34756,272",48600,"14,089",73000,73000
VET VPR-7300,TUERCA REG.PI�ON 1519,REPUESTOS,VETORE,A,0,"56713,12",78000,"21,79",117000,124202
VET VPV-1620,POLEA CIGUE�AL 2 PISTAS M/N TURBO,REPUESTOS,VETORE,A,0,"375574,194",524600,"152,241",787000,787000
VET VPV-3801,POLEA ALTERNADOR 2 PISTAS 1113,REPUESTOS,VETORE,A,0,"55646,175",78400,"22,734",118000,118000
VET VPV-3805,POLEA CIGUE�AL 2 PISTAS 352.,REPUESTOS,VETORE,A,0,"305454,065",426800,"123,817",640500,640500
VET VPV-3806,POLEA CIGUE�AL 1 PISTA,REPUESTOS,VETORE,A,0,"297858,627",409800,"120,738",615000,615000
VET VPV-3807,POLEA CIGUE�AL 2 PISTAS M/N SENCILLO,REPUESTOS,VETORE,A,0,"384688,619",537400,"149,005",806500,806500
VET VRE-1500,CA�ONERA 1113/1313,REPUESTOS,VETORE,A,0,"58841,46",83000,"24,039",124500,124500
VET VRE-2500,CA�ONERA 608,REPUESTOS,VETORE,A,0,"59438,813",81800,"23,708",122700,116603
VET VRE-4500,CA�ONERA M/N,REPUESTOS,VETORE,A,0,"89709,111",124400,"36,65",187000,187000
VET VRE-5400,TORRECILLA CAMBIO M/N,REPUESTOS,VETORE,A,0,"103964,949",145400,"42,143",218500,218500
VET VRE-5500,TORRECILLA BAJA,REPUESTOS,VETORE,A,0,"58660,595",81000,"23,966",121500,121500
VET VTC-1352,TAPA CAJA TRASERA M/V,REPUESTOS,VETORE,A,0,"234779,205",323000,"95,147",484400,542340
VET VTC-1366,TAPA CAJA TRASERA M/N,REPUESTOS,VETORE,A,0,"230964,787",325200,"94,218",488000,488000
VET VTD-770,CARCAZA DIF.SC112/3 92/98,REPUESTOS,VETORE,A,0,2223223,3110360,"599,786",4665540,4665540
VIC 0-117,FILTRO DE ACEITE,FILTROS,COMPRA LOCAL,A,0,"24478,077",0,0,70000,70000
VIC 0-119,FILTRO DE ACEITE,FILTROS,COMPRA LOCAL,A,0,"24563,636",0,0,68000,68000
VIC 12.34914.01,RETEN VALVULA MOTOR OM 904/906,REPUESTOS,COMPRA LOCAL,A,0,"2487,957",0,0,"15562,5",0
VIC 551484,JUNTA TAPA MOTOR SC P93/94 PARCIAL,REPUESTOS,VICTOR REINZ,A,0,"59090,909",81250,"21,382",121875,121875
VIC A-2002V,FILTRO DE AIRE 1654606J00 NISSAN TD42 PATROL Y60 } ovalado,FILTROS,PENTIUS,A,0,"58104,545",0,"21,025",119841,159800
VIC A-874V,FILTRO DE AIRE,FILTROS,COMPRA LOCAL,A,0,"73181,818",0,0,132500,132500
VIC C-110,FILTRO DE ACEITE,FILTROS,COMPRA LOCAL,A,0,"18218,318",25050,"6,592",37575,0
VIC C-209,FILTRO DE ACEITE,FILTROS,COMPRA LOCAL,A,0,"27311,455",0,"9,882",56330,75105
VIC C-231,FILTRO DE ACEITE,FILTROS,COMPRA LOCAL,A,2,"30256,769",0,0,84000,84000
VIC C-524,FILTRO DE ACEITE,FILTROS,COMPRA LOCAL,A,0,"45004,636",0,0,80500,80500
VIC FC-511,FILTRO DE COMBUSTIBLE,FILTROS,VICTOR REINZ,A,0,"28897,818",63575,"12,895",95363,73500
VIC FC-512,FILTRO DE ACEITE 8944309830 ISUZU 4JA1/4JB1/KB2500/KB2800,FILTROS,VICTOR REINZ,A,0,"26090,909",35875,"9,441",53813,72000
VIC O-118,FILTR0 DE ACEITE,FILTROS,COMPRA LOCAL,A,0,42276,0,0,105000,105000
VIN 19.1000.0029-1,CARPA VINIFLEX AZUL 14.5 X 4.5,REPUESTOS,VINIFLEX,A,0,"956768,502",1320628,"347,534",1980942,0
VIN 19.1000.0084-1,CARPA VINIFLEX GRIS 14.7 X 4.7,REPUESTOS,VINIFLEX,A,0,"1013038,266",1398297,"367,973",2097446,0
VIN 19.1000.0192-1,CARPA VINIFLEX ROJA 14.5 X 4.5,REPUESTOS,VINIFLEX,A,0,"956768,502",956769,"347,534","1195961,25",0
VIN 19.1000.0207-1,CARPA VINIFLEX ROJA 14.7 X 4.7,REPUESTOS,VINIFLEX,A,0,"1013038,266",1398297,"367,973",2097446,0
VIN 19.1000.1075-1,CARPA VINIFLEX AZUL 14.7 X 4.7,REPUESTOS,VINIFLEX,A,0,"1013038,266",1398297,"367,973",2097446,0
VIN 19.1000.2139-1,CARPA VINIFLEX NEGRA 14.7 X 4.7,REPUESTOS,VINIFLEX,A,0,"1013038,266",1398297,"367,973",2097446,0
VIN MH19.1000.0029-1,CARPA VINIFLEX AZUL 14.5 X 4.5 MAHLE,REPUESTOS,VINIFLEX,A,0,"1040144,612",1508210,"396,897",2262315,0
VIN MH19.1000.0192-1,CARPA VINIFLEX ROJA 14.5 X 4.5 MAHLE,REPUESTOS,VINIFLEX,A,0,"1040144,612",1040145,"396,897","1300181,25",0
VIN MH19.1000.0207-1,CARPA VINIFLEX ROJA 14.7 X 4.7  MAHLE,REPUESTOS,VINIFLEX,A,0,"1100806,865",1100807,"420,045","1376008,75",0
VIN MH19.1000.1075-1,CARPA VINIFLEX AZUL 14.7 X 4.7 MAHLE,REPUESTOS,VINIFLEX,A,0,"1100806,865",1100807,"420,045","1376008,75",0
VIN MH19.1000.2139-1,CARPA VINIFLEX NEGRA 14.7 X 4.7 MAHLE,REPUESTOS,VINIFLEX,A,0,"1100806,865",1596170,"420,045",2394255,0
VIN MH19.1000.2322-1,CARPA VINIFLEX VERDE 14.7 X 4.7 MAHLE,REPUESTOS,VINIFLEX,A,0,"1100806,914",1100807,"420,045","1376008,75",0
VIN SC19.1000.0029-1,CARPA VINIFLEX AZUL 14.5 X 4.5 SCANCENTER,REPUESTOS,VINIFLEX,A,0,"1040144,712",1508210,"396,897",2262315,0
VIN SC19.1000.1075-1,CARPA VINIFLEX AZUL 14.7 X 4.7 SCANCENTER,REPUESTOS,VINIFLEX,A,0,"1100807,114",1596170,"420,045",2394255,0
VIN VL19.1000.0029-1,CARPA VINIFLEX AZUL 14.5 X 4.5 VALVOLINE,REPUESTOS,VINIFLEX,A,0,"1040144,779",1508210,"396,897",2262315,0
VIN VL19.1000.0192-1,CARPA VINIFLEX ROJA 14.5 X 4.5 VALVOLINE,REPUESTOS,VINIFLEX,A,0,"1040144,779",1508210,"396,897",2262315,0
VIN VL19.1000.0207-1,CARPA VINIFLEX ROJA 14.7 X 4.7 VALVOLINE,REPUESTOS,VINIFLEX,A,0,"1100807,039",1100807,"420,045","1376008,75",0
VIN VL19.1000.1075-1,CARPA VINIFLEX AZUL 14.7 X 4.7 VALVOLINE,REPUESTOS,VINIFLEX,A,0,"1100807,039",1100807,"420,045","1376008,75",0
VIN VL19.1000.2139-1,CARPA VINIFLEX NEGRA 14.7 X 4.7 VALVOLINE,REPUESTOS,VINIFLEX,A,0,"1100807,039",1100807,"420,045","1376008,75",0
VIN VL19.1000.2322-1,CARPA VINIFLEX VERDE 14.7 X 4.7 VALVOLINE,REPUESTOS,VINIFLEX,A,0,"1100806,914",1100807,"420,045","1376008,75",0
VIOC12005D,PULOVER THERMAL VALVOLINE NEGRO D.,RETAIL SHOP,VALVOLINE,A,0,"96362,2",0,0,0,0
VIOC12005X,PULOVER THERMAL VALVOLINE NEGRO X.,RETAIL SHOP,VALVOLINE,A,1,"82978,6",0,0,0,0
VIOC12012L/X,KEPIS PRELAVADO VALVOLINE L/X.,RETAIL SHOP,VALVOLINE,A,0,"79498,78",0,0,0,0
VIOC12012S/M,KEPIS PRELAVADO VALVOLINE S/M.,RETAIL SHOP,VALVOLINE,A,2,"79498,78",0,0,0,0
VIS 504D,ESPEJO CORTADO 504D,REPUESTOS,COMPRA LOCAL,A,0,53177,"71825,6",0,107738,107738
VISC 28363,PANAL RADIADOR 709/711/912,REPUESTOS,COMPRA LOCAL,A,0,"62408,373",0,0,1312500,0
VMG 315,BOMBA DE AGUA 1113/1313 S/TAPA,REPUESTOS,COMPRA LOCAL,A,0,"278919,174",352833,"92,851",529250,529250
VMG BA-1376,BOMBA AGUA 366/1620 TURBO S/TAPA,REPUESTOS,VETORE,A,0,"388877,273",534706,"140,712",802059,0
VMG BA026,BOMBA DE AGUA 1113 88mm.VMG,REPUESTOS,RODAFUSO,A,0,"278919,091",352833,"92,851",529250,529250
VMG BA1150,BOMBA DE AGUA MB366 VMG,REPUESTOS,SACHS,A,0,"355425,455",488710,"128,608",733065,535152
VMG BA148,BOMBA DE AGUA SC112/113,REPUESTOS,COMPRA LOCAL,A,0,461380,634398,"166,947",951597,0
VMG BA418,BOMBA DE AGUA CHEVROLET S10 A�O 2006,REPUESTOS,COMPRA LOCAL,A,0,"305454,545",420000,"110,526",630000,630000
VMG BA453,BOMBA DE AGUA MB OM 904,REPUESTOS,COMPRA LOCAL,A,0,"697925,455",959647,"252,539",1439471,0
VMG BA650,BOMBA DE AGUA SC SERIE 5,REPUESTOS,COMPRA LOCAL,A,0,"297264,545",408739,"107,563",613109,0
VMG JR012RL,REPARO BOMBA AGUA MB/OM364,REPUESTOS,COMPRA LOCAL,A,0,141050,193944,"51,038",290916,0
VMG JR101RL,REPARO BOMBA AGUA M/N,REPUESTOS,COMPRA LOCAL,A,0,"161557,273",222141,"58,458",333212,0
VMG JR112L,REPARO BOMBA AGUA 712/914 ELECTR.OM-904,REPUESTOS,COMPRA LOCAL,A,0,"231818,182",331500,"87,237",497250,0
VMG JR137RL,REPARO BOMBA AGUA 1113,REPUESTOS,COMPRA LOCAL,A,0,"150248,264",206591,"54,366",309887,0
VOL 1010002,JUNTA TAPA MOTOR VOLVO TD 102 FS,REPUESTOS,COMPRA LOCAL,A,0,"45761,118",62922,"16,558",94383,0
VOL 1010113,BULON TAPA MOTOR VOLVO TD-102FS,REPUESTOS,COMPRA LOCAL,A,0,"64065,566",88090,"23,182",132135,0
VOL 12028,PICAPORTE DE PUERTA VOLVO 92 12028,REPUESTOS,COMPRA LOCAL,A,0,"93676,471",128805,"33,896",193208,0
VOL 1387136,ABRAZADERA CA�O ESCAPE SERIE 4,REPUESTOS,VOLFFER,A,0,"36633,071",50370,"13,255",75555,109566
VOL 1526544,CARCAZA EMBRAGUE VOLVO N10,REPUESTOS,COMPRA LOCAL,A,0,"909090,909",1136364,0,1704546,1704546
VOL 1527453,TERMINAL PALANCA CAMBIO VOLVO VOLFFER,REPUESTOS,COMPRA LOCAL,A,0,"72727,273",100511,"26,45",150767,150767
VOL 1573522,BUJE ZAPATA TRAS.VOLVO,REPUESTOS,COMPRA LOCAL,A,0,"13636,364",18800,"4,947",28200,28200
VOL 1584671,PERNO RESORTE ZAPATA TRAS.VOLVO,REPUESTOS,COMPRA LOCAL,A,0,9136,11420,0,17130,17130
VOL 1653156,VALVULA PEDAL VOLVO FH/NH 12,REPUESTOS,COMPRA LOCAL,A,0,"82363,182",113249,"29,802",169874,0
VOL 1655316,RULEMAN COJINETE COMPLETO P/TD 100,REPUESTOS,COMPRA LOCAL,A,0,"241363,636",368750,"97,039",553125,0
VOL 1676744V,MANGUERA INTERCOOLER VOLVO,REPUESTOS,COMPRA LOCAL,A,0,"218181,818",300700,"79,132",451050,451050
VOL 1793,TUERCA CUBO VOLVO NL10,REPUESTOS,COMPRA LOCAL,A,0,150000,206250,"54,276",309375,0
VOL 1794,SEGURO P/ TUERCA VOLVO NL10,REPUESTOS,COMPRA LOCAL,A,0,10000,13750,"3,618",20625,0
VOL 1795,RETEN CUBO VOLVO NL10,REPUESTOS,COMPRA LOCAL,A,0,120000,165000,"43,421",247500,0
VOL 1796,PISTA RETEN CUBO VOLVO NL10,REPUESTOS,COMPRA LOCAL,A,0,200000,275000,"72,368",412500,0
VOL 183250,PRISIONERO RUEDA TRAS.VOLVO FH 12,REPUESTOS,COMPRA LOCAL,A,0,"22727,273",31250,"8,224",46875,0
VOL 191178,TUERCA MASA TRAS.VOLVO,REPUESTOS,VOLFFER,A,0,"30129,87",41429,"10,902",62144,62144
VOL 2001,PULMON SUSPENSION  VOLVO WHITE,REPUESTOS,COMPRA LOCAL,A,0,"1409090,909",1937500,"509,868",2906250,0
VOL 2002,VALVULA DE FRENO VOLVO WHITE,REPUESTOS,COMPRA LOCAL,A,0,"1136363,636",1562500,"411,184",2343750,0
VOL 2003,VALVULA DISTRIBUIDOR VOLVO WHITE,REPUESTOS,COMPRA LOCAL,A,0,"772727,273",1062500,"279,605",1593750,0
VOL 2004,GRAMPITA VOLVO WHITE,REPUESTOS,COMPRA LOCAL,A,0,200000,275000,"72,368",412500,0
VOL 2038,CALCE CAMISA 0.20 VOLVO N12 VOLFFER,REPUESTOS,...,A,0,7700,0,0,0,0
VOL 20424051,VALVULA SOLENOIDE VL FH,REPUESTOS,COMPRA LOCAL,A,0,"910010,086",1251264,"329,28",1876896,1876896
VOL 20582212,PULMON SUSP. VOLVO FH12 C/ SOPORTE 4 AG.,REPUESTOS,COMPRA LOCAL,A,0,"706818,182",971875,"255,757",1457813,0
VOL 20917279,GATO ALZA CABINA FH CHINES 2002,REPUESTOS,COMPRA LOCAL,A,0,"2681818,182",3687500,"970,395",5531250,0
VOL 21639688,MOTOR VENTILADOR A/C VOLVO FH13,REPUESTOS,Sin Marca,A,0,3704950,5094306,"1340,607",7641459,7641459
VOL 21789683,CABO SELECTOR CORTO VOLVO FH12 D12,REPUESTOS,COMPRA LOCAL,A,0,"1681818,182",2312500,"608,553",3468750,3468750
VOL 21789684,CABO SELECTOR LARGO VOLVO FH12 D12,REPUESTOS,COMPRA LOCAL,A,0,"1681818,182",2312500,"608,553",3468750,3468750
VOL 3192219,SEGURO RULEMAN COJIN.JGO.,REPUESTOS,COMPRA LOCAL,A,0,"65909,091",90625,"23,849",135938,151110
VOL 348979,RODILLO ZAPATA TRAS.VOLVO,REPUESTOS,COMPRA LOCAL,A,0,"27272,727",37650,0,56475,56475
VOL 384802,RULEMAN AXIAL PLANET.DIF.,REPUESTOS,COMPRA LOCAL,A,0,82062,102578,0,153867,153867
VOL 389168,PERNO LARGO P/ PICAPORTE PUERTA VOLVO,REPUESTOS,COMPRA LOCAL,A,0,"137959,893",189695,"49,92",284543,0
VOL 423079,ENGRANAJE COMANDO BOMBA INYECTORA VOLFFER,REPUESTOS,VOLFFER,A,0,393921,492401,0,738602,738602
VOL 425559,TAPA MOTOR VOLVO N/NL12 TD122 ESTR.,REPUESTOS,...,A,0,908628,1135785,0,1703678,1703678
VOL 51467,CORREA ALTERNADOR VOLVO 51467�,REPUESTOS,COMPRA LOCAL,A,0,15733,0,0,0,0
VOL 5223,JGO.JUNTA MOTOR VOLVO N10/TD 101 COMPLETO,REPUESTOS,COMPRA LOCAL,A,0,487649,0,0,0,0
VOL 5282,REPARO DEL.TENSOR VOLVO 95mm VOLFFER,REPUESTOS,...,A,0,187969,0,0,0,0
VOL 6211,REPARO DEL.TENSOR VOLVO 85mm VOLFFER,REPUESTOS,VOLFFER,A,0,"136363,636",187500,"49,342",281250,201123
VOL 633313,ENGRANAJE BOMBA INY.CHICO,REPUESTOS,COMPRA LOCAL,A,0,353071,441339,0,662009,662009
VOL 6885659,TUERCA PI�ON VOLVO,REPUESTOS,COMPRA LOCAL,A,0,20000,27633,0,41450,41450
VOL 6885992,JGO.RETENES Y JUNTAS VOLVO 340/NL10,REPUESTOS,COMPRA LOCAL,A,0,"144409,938",198564,"52,254",297846,0
VOL 6939,RETEN CA�ONERA VOLVO 340,REPUESTOS,COMPRA LOCAL,A,0,"14545,455",20164,"5,306",30246,30246
VOL 70310,RETEN VOLVO WHITE,REPUESTOS,COMPRA LOCAL,A,0,"318181,818",437500,"115,132",656250,0
VOL 7080,JGO.JUNTA CAJA CAMBIO VOLVO BMC,REPUESTOS,COMPRA LOCAL,A,0,"128365,385",0,0,190909,206707
VOL 7463,SOPORTE CAPOT VOLVO NL10 VOLFFER,REPUESTOS,COMPRA LOCAL,A,0,"6363,636",0,0,9545,9545
VOL 808285,TURBO 366 ECOLOGICO C/ VALVULITA,REPUESTOS,COMPRA LOCAL,A,0,"2288181,818",3146250,"827,961",4719375,4719375
VOL 8120853,CARCAZA EMB. LADO CAJA VOLVO N/NL/EDC,REPUESTOS,COMPRA LOCAL,A,0,"1111888,112",1528846,"402,328",2293269,1500000
VOL 8123611,CERRADURA PUERTA VOLVO NL10 (I),REPUESTOS,COMPRA LOCAL,A,0,"58343,772",80223,"21,111",120335,120335
VOL 8126085,MECANISMO LEVANTA VIDRIO VOLVO NL10/12 (I) ELECTRON.,REPUESTOS,COMPRA LOCAL,A,0,"64386,364",88531,"23,298",132797,132797
VOL 8126782,CARCAZA EMB. LADO MOTOR VOLVO N/NL/EDC,REPUESTOS,COMPRA LOCAL,A,0,"1297202,797",1783654,"469,383",2675481,0
VOL 8149395,VENTILADOR RADIADOR VOLVO NL10/12,REPUESTOS,...,A,0,"463636,364",638484,"168,022",957726,957726
VOL 8171060,CARCAZA EMBRAGUE VOLVO,REPUESTOS,...,A,0,2223223,1534091,0,2301137,2301137
VOL 82304585,FARO LUZ VL FH DERECHO,REPUESTOS,COMPRA LOCAL,A,0,5000000,6875000,"1809,211",10312500,0
VOL 82304599,FARO LUZ VL FH IZQUIERDO,REPUESTOS,COMPRA LOCAL,A,0,5000000,6875000,"1809,211",10312500,0
VOL 85013654,COMPRESOR AIRE ACONDICIONADO FH1 VOLVO,REPUESTOS,COMPRA LOCAL,A,0,5000000,6875000,"1809,211",10312500,10312500
VOL 9849,REPARO PARCIAL PUNTA EJE VOLVO,REPUESTOS,COMPRA LOCAL,A,0,17740,22175,0,33263,33263
VOL EV29026,ESTATOR 45 AMP.24V VOLTEX,REPUESTOS,VOLFFER,A,0,"118640,909",163131,"42,929",244697,240009
VOL EV45045,ESTATOR 45 AMP.24V SC/VOLVO VOLTEX,REPUESTOS,VOLFFER,A,0,"110781,818",152325,"40,086",228488,229595
VOL EV80.586,ESTATOR 35 AMP.VOLTEX,REPUESTOS,RODAFUSO,A,0,"103155,95",137945,"36,301",206918,206918
VOL EV80559,ESTATOR 55 AMP.12V VOLTEX,REPUESTOS,SACHS,A,0,"98472,727",135400,"35,632",203100,305112
VOL IV 00055,INDUCIDO DE ARRANQUE 24V SIST. DELCO MB 711/915,REPUESTOS,...,A,0,"276828,182",395900,0,593800,0
