Empresa,Yhaguy Repuestos,
,,
CODIGO,POSITIVO,NEGATIVO
MB-2529,2,0
MB-151-1,0,-14
MB-151,0,-19
ROC 020043-3,0,-2
SC-237,0,-2
REI R-364,28,0
SC-236,0,-6
MB-4077,0,-5
BUJ 957 5X,0,-1
MB-4075,0,-4
MB-4076,1,0
SUL SC067-3X,20,0
SUL SC067-STD,0,-20
BUJ 958 5X,0,-11
SUL SC092-3X,0,-3
MON 281626,0,-7
REI R-336,2,0
AMA 1044,1,0
MAH G48017 STD,0,-5
MAH G48018 STD,0,-6
KS 87.354.893,335,0
KS 87.314.694,0,-3
MAH G76529 STD,0,-4
MAH G76563 STD,0,-30
REI R-3288,1,0
MAH G76163 STD,0,-4
META 160021160,4,0
MET BG-163-U-STD,2,0
DIE 139110,0,-2
SC-5285,0,-1
REI R-335,0,-2
SC-1571,0,-12
MON 1357380,0,-10
MON 1357381,0,-1
SC 1343134,6,0
PRIO 1343134,0,-10
REI R-813,0,-10
QUI QA-1740,0,-1
FAL 30304,0,-5
SC-565,1,0
SC-563,0,-2
FAL 45094,0,-1
FAL 45084,0,-2
MON 289445,0,-7
SC-1540,0,-1
META 160021045,1,0
REI R-393,4,0
REI R-392,0,-2
REI R-477,38,0
REI R-453,232,0
REI R-744B,0,-1
REI R-733,0,-10
REI R-037A,0,-1
REI R-458,0,-10
REI R-459,4,0
REI R-459A,1,0
REI R-749,15,0
FEB 06844,0,-15
SC 384372,0,-8
SC 1386453,0,-4
KS 87.245.624,0,-3
MB 3440500051,0,-3
MAH H48034 STD,0,-3
MAH H48098 STD,25,0
MAH H76141,6,0
MAH EC-141 STD,0,-1
CIP 350044,0,-4
CIP 813245,0,-2
SC-900,5,0
FAL 100585,0,-6
REI R-462,0,-3
REI R-463,0,-1
MB-2455,10,0
BUJ 412314,1,0
COR 4865416110TR,0,-2
META 160020284,1,0
CIP 1334539,0,-2
META 160020350,0,-52
SC-5183,0,-1
CIP 297087,0,-6
META 160020009,0,-12
META 160020011,3,0
SC-2779,0,-1
ORI 1302891,1,0
MB-6545,16,0
META 160020007,0,-4
CIP 1301106,0,-2
MB-2212,15,0
META 160020349,0,-1
FAL 09600,0,-2
TOT T0254,0,-1
MB-3158,0,-2
BUJ 1391830,0,-4
CIP 311448,0,-2
SC-4919,0,-2
SC-3262,0,-4
SAM 040297,1,0
REI R-340,15,0
ZF 0735.295.119,1,0
SC-1189,0,-2
FAL 30072,30,0
CIP 348907,0,-2
META 160020175,1,0
META 160020176,1,0
SC-216,0,-1
FAL 31873,0,-1
SC-3089,5,0
REI R-885,2,0
SC-1343122,2,0
CIP 311757,0,-2
SC 1377562,0,-3
REI R-826A,2,0
REI R-838,0,-1
RYG 362385,0,-2
CIP 346085,0,-2
MB-743,0,-2
MB-6215,1,0
SC-13,0,-1
CIP 180435,10,0
SC-885,0,-10
REI R-173,0,-1
REI R-830,0,-4
SC-3494,0,-16
MB-3134,2,0
MB-2016,0,-8
MB-146,8,0
META 160023430,0,-1
SAM 040157,0,-6
FAL 30296,0,-4
VOL 1573522,0,-1
C0011592101,0,-1
MON 314572,0,-1
RHO-360,0,-2
SIE 323005001R,1,0
SIE D-18038,5,0
MB-3166,9,0
SIE D-17943,2,0
3-RHO,1,0
SIE D17941,4,0
SC 1303472,4,0
SIE 360004002R,0,-1
SIE 360005031R,0,-1
RHO 7703,0,-1
SIE 360002019R,2,0
SIE 360002017R,4,0
SIE 360002009R,0,-1
SIE 360002008R,21,0
RHO-7718,0,-1
SC-4401,0,-2
MON 234736,0,-1
BD 9-9003,1,0
RHO 6612,0,-1
SC-2228,0,-2
BD 9-9430,4,0
SC-5241,0,-2
MB-186,0,-6
MB-187,0,-193
SC-1898,4,0
SC-1846,25,0
SC-1847,0,-112
MB-190,1,0
SC-1849,0,-7
SC-1850,1,0
SC-1851,0,-2
SC-1852,0,-15
SC-1900,0,-5
MB-193,6,0
SC-1853,0,-14
MB-195,0,-42
MB-196,0,-19
MB-197,0,-4
MB-198,13,0
MB-1999,0,-2
SC-1858,0,-34
MB-237,0,-62
MB-199,43,0
MB-2814,0,-2
MB-200,2,0
SC-1865,0,-1
SC-1861,0,-12
SC-1863,8,0
MB-202,0,-10
SC-1866,0,-2
SC-1877,0,-1
SC-1868,0,-2
SC-1907,0,-6
MB-204,0,-7
SC-1869,0,-2
MB-2816,7,0
SC-1903,0,-26
MB-205,90,0
SC-1876,0,-106
MB-206,0,-2
SC-1870,109,0
MB-2815,129,0
MB-207,70,0
SC-1887,0,-20
SC-1878,0,-5
MB-1856,0,-35
SC-1880,0,-1
MB-1693,0,-10
MB-209,0,-38
MB-6442,47,0
MB-211,72,0
SC-1883,56,0
SC-1886,0,-29
SC-1888,0,-1
MB-217,0,-2
SC-1906,4,0
MB-4978,0,-7
MB-218,0,-18
MB-215,1,0
MB-4478,0,-1
MB-18X150,2,0
SC-2788,0,-1
MB-1468,0,-2
SC 280871,0,-7
MB-185,4,0
SC-4798,0,-2
FAL 12544,2,0
MB-2162,0,-8
MB-4002,0,-1
MB-289,0,-4
MB-6928,0,-6
FAL 05513,0,-2
MB 906.016.0769,0,-12
MB-3615,1,0
MB-3761,0,-5
MB-254,0,-5
FAL 10697,1,0
MB-1836,0,-1
FAL 14490,1,0
CIP 323508,0,-6
MB-225,4,0
CIP 394591,1,0
MB-1957,0,-1
SC-1085,0,-1
FAL 30223,0,-4
CIP 294612,0,-2
FAL 32735,3,0
SC-4891,8,0
CIP 1344182,0,-8
BUL 223353,0,-13
CIP 1108053,0,-12
SC 1108053,8,0
BUL 1108053,0,-2
MB-2002,0,-1
CIP 224710,0,-2
SC 297650,1,0
MB 3839900119,0,-3
MB-224,0,-1
MB-007,0,-6
SC 1375882,0,-1
CIP 264125,0,-2
FAL 30403,0,-12
SC-795,0,-7
CIP 244967,0,-1
FAL 30395,69,0
SC-830,3,0
MB-5990,0,-3
MB-4001,0,-2
FAL 103305,8,0
SC-1125,2,0
CIP 225898,0,-1
FAL 31112,1,0
SC-3713,3,0
MB 9060160769,0,-2
SC 1451946,1,0
CIP 1451946,0,-1
MB-1712,0,-1
INC 01.01.0280,1,0
FAL 10765,0,-1
AMA 9011,1,0
BEP M080E,1,0
BEP M080F,1,0
BEP M081E,0,-1
SC 1112484,2,0
CIP 1112484,0,-2
SC-4877,0,-1
RYG 3520702732,2,0
MB-1784,5,0
MB-328,0,-7
MB-2199,13,0
RYG 3520702932,1,0
MB-1783,0,-2
MB-5545,0,-1
INC 01.01.0530,2,0
MB-5215,1,0
MB-533,0,-2
MB-1860,1,0
BEP T002J,1,0
BEP S304H,1,0
MB-466,0,-3
MB-319,0,-1
PRIO 100064,0,-2
MB-457,0,-6
MB-465,0,-1
MB-485,3,0
CR-114,3,0
INC 01.01.0341,31,0
INC 01.01.0121,18,0
MB-4431,0,-3
INC 01.01.0065,6,0
INC 01.01.0331,20,0
SC-3790,0,-1
INC 01.02.0061,0,-1
INC 01.02.0131,0,-1
SC-2357,0,-6
INC 01.35.0080,0,-4
CR-72,1,0
INC 01.01.0066,1,0
INC 01.01.0332,18,0
INC 01.02.0022,4,0
SC-75,0,-1
INC 01.02.0002,1,0
INC 01.02.0072,1,0
INC 01.02.0132,0,-1
INC 01.35.0090,0,-1
INC 01.01.0343,0,-1
INC 01.01.0123,0,-2
MB-4434,0,-1
INC 01.01.0333,29,0
INC 01.02.0033,0,-2
INC 01.02.0073,1,0
SC-1704,1,0
INC 01.35.0100,0,-2
INC 01.01.0124,5,0
INC 01.01.0334,5,0
SC-53,0,-1
INC 01.02.0004,1,0
INC 01.02.0074,1,0
SC-1705,0,-1
SC-4516,0,-2
INC 01.02.0134,1,0
INC 01.01.0125,3,0
INC 01.01.0335,45,0
MB-2126,1,0
INC 01.02.0005,0,-1
INC 01.02.0075,1,0
SC-5331,0,-1
SC-2361,0,-2
INC 01.35.0120,0,-2
INC 01.01.0126,0,-11
MB-2127,0,-1
INC 01.01.0336,41,0
INC 01.02.0066,0,-2
INC 01.02.0026,1,0
SC-52,0,-1
INC 01.02.0076,0,-3
INC 01.35.0130,0,-3
INC 01.02.0067,1,0
SC-2364,0,-1
MB-047,0,-4
CR-0102,0,-2
AMA 9168,0,-1
BEP M085J,1,0
AMA 9030,2,0
BEP M081J,1,0
SC-5020,0,-4
CIP 244948,0,-1
CIP 315060,0,-2
SC-2156,0,-2
SC 1341685,0,-1
CIP 1341684,0,-1
BEP M081D,0,-1
MB-546,0,-20
BEP M086S,1,0
AMA 9026,0,-1
MB-340,1,0
INC 01.06.0110,1,0
FLEX MA103,0,-97
SC-3663,0,-192
SC-2729,0,-42
SC-2297,0,-22
LUB 8.52X6.35,0,-2
SC-1296,53,0
FLEX TB163,0,-11
CIP 813019,0,-25
PRIO 021PT,130,0
SC-1295,0,-227
FLEX TB165,0,-143
PRIO 016PT,0,-199
SC-2043,0,-283
CIP 813016,0,-99
MB-3451,0,-6
SC-1297,215,0
PRIO 017PT,82,0
FLEX TB162,0,-71
SC-2028,0,-16
SC-4628,0,-1
SC-4495,0,-2
SC-4733,1,0
SC-4742,0,-2
FAL 08660,0,-1
MB-472,2,0
PRIO TB1058,2,0
BEP S304I,0,-1
SC-4202,0,-2
SC 94845.5,0,-2
MB-428,0,-1
MB-1586,0,-6
CAB 121111,6,0
MB-2152,1,0
CAB 131435,0,-1
SC-326,0,-8
SC-3823,0,-1
FAN 052.058,0,-1
SC-1333,0,-3
FAN 052.090,0,-3
CAB 12449,0,-9
MB-2232,6,0
FAN 060.321,1,0
MB-2150,1,0
MB-5659,0,-5
FAN 060.308,0,-1
CAB 12107,4,0
CAB 12492,5,0
SIE 215992022F,10,0
SC 1498712,0,-2
SC-362,0,-1
CAB 12551,2,0
MB-410,0,-2
SC-324,0,-2
CIP 381586,0,-1
CIP 543801,1,0
SC 1485946,0,-1
TRA 44952/600,0,-1
MB-5006,0,-1
SC 378638,0,-1
SC 378639,0,-1
SC-414,2,0
SC-392,0,-2
SC-1131,0,-200
SC-1096,0,-1
MB-4772,0,-1
ROC 010562-7,0,-1
FAL 34948,0,-19
SC-1284,0,-6
CIP 284815,0,-3
SC-1285,2,0
MB-4208,0,-7
MB-4205,0,-19
ROC 030156-6,0,-5
MB-4204,0,-2
MB-4210,0,-1
ROC 030009-8,3,0
MB-4211,0,-5
MB-4209,0,-24
VOL 2038,0,-23
SC-3921,3,0
CIP 1546784,0,-6
SC 1546784,0,-6
SC-2153,0,-12
CIP 165815,0,-1
CIP 1546785,0,-3
CIP 165816,2,0
FAL 35629,0,-6
SC 1546787,12,0
CIP 165818,1,0
SC-5260,4,0
SC 1546788,0,-6
SC-1288,0,-1
CIP 314876,0,-3
ZF 0501.397.145,0,-1
ZF 0730.002.680,1,0
MB-1020,0,-2
MB-6826,0,-3
MB-073,2,0
MB-83,0,-3
MB-4698,0,-1
ZF 0501.397.148,0,-1
MB-4502,0,-8
MB-308,0,-21
MB-4503,0,-33
MAH L76175,1,0
"MAH L76044 0,50",0,-1
MAH L76044 STD,1,0
CAL 348611,0,-2
SC-1289,0,-10
SC-2773,0,-1
SC-957,5,0
CIP 42752,0,-1
CIP 42001,9,0
SC-942,0,-6
CIP 42753,2,0
SC-947,3,0
SC-950,0,-9
SC-963,0,-13
SC-958,0,-6
META 160020004,5,0
META 160020005,0,-5
SC-1017,0,-1
SC-329348,3,0
MB-2646,2,0
META 160020008,0,-1
CIP 301901,0,-1
TOR 1000X20,0,-3
SC-1478,0,-16
MB-5092,2,0
MB-370,0,-1
MIL 1676,1,0
MIL 1076,1,0
MB-369,0,-1
"MAH C48100 0,50",0,-6
KS 89.711.190,4,0
MET C-1049 020,0,-3
RIO 61.094.620,2,0
KS 89.714.190,4,0
MAH C48100 100,6,0
"MAH C-48100 1,50",0,-8
MAH C480690 STD,0,-4
MAH C48950 STD,0,-2
KS 89.513.190,10,0
KS 89.411.810,0,-1
MET C-1800 STD,0,-1
RIO 61.094.020,0,-2
MET C-1049 STD,0,-1
MET C-1060 STD,1,0
KS 89.390.110,2,0
KS 89.844.810,2,0
RIO 61.516.6035,0,-6
KS 88.568.110,0,-7
KS 88.476.110,6,0
KS 89.427.810,8,0
BMC 479163,0,-1
MB-5093,0,-37
SC-4865,0,-17
CIP 236332,0,-3
INA F-34187,7,0
SC-4095,0,-1
LUBM 500M,0,-19
SUL BX-172-B,0,-1
SC-1184,0,-2
SUL BSX-433-24V,1,0
SUL BSX-60,1,0
SUL BSX-433,0,-5
SUL BSX-561-24V,0,-2
BK 19.BSX561-24V,0,-5
SUL BSX-561-12V,5,0
ZOC BSX561,0,-5
SUL BSX-43,0,-1
BEP B060Z,1,0
BEP B060F,0,-1
FCS-SC075,1,0
MB-3016,0,-1
KNO I757910062,2,0
LS-1812,1,0
TBP S80.8300,1,0
TBP S80.8299,0,-1
SC 1324599,0,-1
FCS-SC058 RH,0,-1
SC 1324600,0,-2
AMA 6072 D,0,-1
SC 1423412,0,-1
SC 1303600,0,-1
CIP 304307,0,-1
SC-2941,0,-1
MB-3127,0,-1
MEC LV-1343,1,0
SPI 03-423XS,0,-1
SPI 40-1560,1,0
NAK NC-11012,0,-1
EZ12-12000,0,-2
BEP C021,1,0
SC 1777779,6,0
RIO 55.018.170,19,0
KS 77.596.610,26,0
RIO 55.105.120,69,0
KS 77.594.615,20,0
KS 87.234.610,1,0
KS 87.204.610,2,0
SC 365101,5,0
MET BC-093-J025,0,-1
KS 87.515.610,1,0
RIO 55.018.270,13,0
KS 86.013.624,15,0
KS 77.596.620,36,0
KS 77.594.620,2,0
KS 77.708.620,1,0
KS 87.234.620,1,0
KS 77.594.630,1,0
KS 87.204.630,1,0
MET BC-333-J 100,2,0
KS 77.596.640,19,0
MAH M48375 025,0,-2
"MAH M48135 0,25",0,-1
"MAH M48375 1,00",2,0
MAH M48333 100,0,-3
MAH M480852 STD,0,-1
KS 77.707.610,29,0
KS 77.708.600,3,0
KS 77.707.600,15,0
"MAH 76200 0,25",0,-1
"MAH M76093 0,25",1,0
MAH M76200 050,1,0
MAH M76200 STD,0,-2
KS 87.735.600,2,0
RIO 55.018.070,9,0
KS 77.596.600,3,0
KS 77.594.600,2,0
RIO 55.098.020,6,0
KS 87.393.600,14,0
KS 87.234.600,2,0
MET BC-093 STD,1,0
RIO 55.017.170,18,0
KS 87.428.610,2,0
KS 87.235.610,3,0
KS 87.203.610,1,0
KS 87.271.610,12,0
RIO 55.017.270,16,0
KS 87.428.620,1,0
RIO 55.095.220,26,0
KS 87.235.620,2,0
KS 87.203.620,1,0
KS 87.428.630,1,0
"MET BB-237-J0,75",0,-1
KS 87.235.630,2,0
KS 87.428.640,7,0
MET BB-134 J100,14,0
MAH B48368 0.25,0,-1
"MAH B48237 0,50",1,0
MAH B76082 0.50,1,0
"MAH B76068 0,50",1,0
MAH B48237 STD,0,-1
MAH B48545 STD,0,-1
KS 77.709.600,2,0
KS 77.823.600,2,0
MAH B76082 STD,0,-6
MAH B76068 STD,2,0
KS 77.766.600,54,0
KS 86.013.604,10,0
KS 78.754.614,1,0
"MET BB-235-J0,75",1,0
MET BB-135 J075,1,0
KS 78.756.634,0,-1
"MAH B48135 0,25",3,0
MAH B48135 0.50,0,-1
MAH B48135 100,8,0
MAH B48135 STD,0,-4
SC 346879,0,-2
SC 276526,0,-2
SUP 88.25.756,0,-2
SC 276525,0,-4
MB-4104,0,-1
SUP 88.25.750,1,0
SAM 042394,1,0
SC-2833,0,-1
SAM 042391,1,0
SUP 88.25.010,0,-7
SC-55,0,-1
ENG 405743,3,0
BOE 6028,0,-1
SC 1571,0,-2
SC 401477,0,-2
PRIO F2205,0,-1
MB-6456,1,0
BOE 6049,0,-1
SC-1475,0,-1
BOE 6003,1,0
SC-1477,0,-1
SIL 1410370021,0,-2
SUP 88.25.052,0,-1
SC-2080,0,-1
SC 1358633,0,-2
SC-1112834,0,-2
SUP 88.25.054,0,-2
SC-1476,0,-2
TRU 20.25.055,0,-3
TRU 20.25.056,2,0
SC 1448114,0,-2
PRIO F2105,1,0
BOE 6005,0,-1
BOE 6001,0,-1
SUP 88.25.050,0,-1
BOE 6010,0,-6
BOE 6050,0,-1
SUP 88.25.007,0,-2
ABRO AB09-42,11,0
MB-365,0,-12
SIL T9-03V,0,-1
TF 7-E,0,-22
ABRO AB09,0,-15
BEP M156O,0,-5
BEP M171W,0,-6
BEP M156M,0,-1
BEP M156P,0,-1
BEP M156Q,3,0
BEP M171J,0,-3
SC-641,0,-2
GRA 2516,0,-5
MB-4103,0,-2
GRA 2518,1,0
MB-347,0,-2
GRA 1520B,4,0
GRA 2520,0,-9
UNI 80219,0,-1
SC-1480,2,0
MB-3499,1,0
GRA 1674P,0,-8
SC-659,6,0
GRA 1675 G,23,0
MB-5534,0,-5
CIP 1380036,0,-1
VAL 836457,1,0
VAL 836532,2,0
VAL 836534,0,-1
SC-658,0,-1
VAL 836427,0,-9
VAL 836429,0,-10
VAL 836430,0,-10
VAL 836452,0,-1
MB-335,1,0
ROC 530078-9,1,0
AMA 1190,1,0
MB-5461,1,0
MB-5462,0,-1
SC-663,1,0
RYG 296212,1,0
SC-662,0,-1
SC 1306310,0,-1
CIP 1789305,1,0
SC-4688,0,-7
AMA 410,0,-1
BEP B073N,2,0
SC 1515194,1,0
AMA 6147 D,0,-1
SC 1515195,1,0
AMA 6147 I,0,-1
BEP B073M,0,-2
SC 1742378.1,0,-1
SC-1146,0,-2
CIP 800692,1,0
CIP 800691,0,-18
CIP 800697,0,-4
MB-431,0,-1
FAL 07026,0,-1
CIP 800703,1,0
SC-1985,0,-7
SC-1980,0,-2
SC-1984,0,-3
SC-1983,0,-2
CIP 813246,0,-1
FAL 11951,0,-50
MB-430,0,-63
FAL 08930,0,-16
ROC 030080-2,0,-4
SC-833,0,-8
CIP 17113,0,-8
PRIO 1501351,0,-10
FAL 30262,0,-5
CIP 377338,11,0
SC 377338,0,-27
SIN-014,0,-1
SC 389202,0,-3
SC 1791171,0,-2
DIEX-0001,1,0
CIP 389202,0,-10
AMA 407,0,-3
MB-4410,0,-1
AMA 406,0,-1
MB-482,1,0
MB-4279,0,-3
BD 1-1710,2,0
SC 375351,1,0
SC 1517325,0,-1
CIP 1321420,5,0
SC 1345149,1,0
CIP 1345149,1,0
CIP 284015C,1,0
NTI 284015,0,-1
CIP 1484809,0,-6
SC 1484809,4,0
POW 9024,0,-2
SC 8820016,0,-1
WAB 925.324.216.0,1,0
WAB 925.324.210.0,0,-1
SC 581025,1,0
SC 0210,0,-1
WAY 052.060,0,-1
VAR RCCR 0017.1,2,0
VAR RCCR 0002.3,0,-2
SC-1488,0,-7
PRIO CI101,0,-14
FLEX CI101,0,-4
MB-2887,0,-10
MB-4115,0,-2
MB-4116,0,-10
MB-2885,0,-17
SC 349S,1,0
FCS-SC108,0,-9
SC 1383858,2,0
SC-5334,0,-96
PRIO 1676627,0,-6
AMA 6058,0,-1
FAL 35058,0,-3
PRIO 1401839,12,0
SC 1401839,0,-6
PRIO 1401840,2,0
SC 1401840,0,-15
ETE-7518,0,-307
SC-2555,0,-266
TSL-2001,0,-277
SC-2865,0,-324
MB-1236,0,-316
SC-5114,0,-30
SC-3390,0,-1
BEP B057O,2,0
SC-4094,0,-3
SC-932,0,-17
SC-934,0,-11
SC-922,0,-15
SC-927,0,-14
SC-4750,0,-7
SC-938,0,-9
SC-925,0,-7
SC-929,0,-19
SC-1207,0,-3
SC-889,0,-3
SC-1224,0,-10
SC-921,0,-1
SC-926,0,-9
SC-1194,0,-16
INC 01.01.0900,0,-3
SIE 214060005R,0,-1
SIE 214060008R,1,0
SIE AS000AR,7,0
SC 1853773,0,-1
SC 1374098,0,-1
SC 1384089,2,0
PRIO CLC002,4,0
SC 357330,0,-1
SC-1730,1,0
CIP 276910,0,-1
SC-126,0,-1
SC-127,0,-2
SC-128,1,0
PRIO CLC008,0,-4
SC-130,0,-1
SC-132,0,-2
ROC 592006-0,0,-1
ROC 592007-8,1,0
SPI 2106-1015/02X,2,0
SPI 2106-1100/01X,1,0
WAB 411.034.531.0,1,0
KNO K014917,2,0
KNO K061368-70,2,0
KNO K013272,1,0
SC 264,0,-8
SC 262,4,0
MB-331,0,-1
MB-5531,1,0
MB-3888,6,0
ROC 030100001,0,-2
MB-333,0,-2
MB-334,2,0
MB-447,0,-1
MB-1262,0,-9
MB-487,0,-2
RG 1003 22M,2,0
RG1003-20M,0,-2
SC LO102,6,0
SC-261,0,-3
FERV 07-0330,0,-6
FERV 07-0310,1,0
CIP 41181,24,0
SC-762,0,-1
GRA 172,0,-1
REI S-626,0,-1
ZF 1290.304.343,1,0
CIN 14.33.0034,0,-1
KL 67.423,2,0
KL 68.422,0,-1
KL 67.422,0,-2
GRA 187,0,-1
REI S-646,1,0
SIE T18020700001F,1,0
SIE C18020000F,1,0
EUR 74.53.0517,1,0
CIN 14.33.0228,0,-1
EUR 74.53.0184,0,-2
KAC K06.02502,0,-1
CIN 14.33.0043,0,-2
RES 604CT,0,-1
BEP B060X,1,0
BEP B055O,0,-1
CIN 46.35.0002A,0,-1
CIN 45.33.0002,2,0
CIN 45.33.0003,0,-1
RYG 322.350.2139,0,-1
MAXG MX8020,0,-1
SCK 8PK1545,3,0
DAY 8PK1535-U,0,-1
DAY 13A1370C-U,0,-1
CON 8PK1500 RNH,0,-1
BTS 8PK-1550,0,-1
GAT K080630,0,-4
GOO 8PK-2100,0,-1
BTS 1000,0,-1
GOO 1095 GB,0,-3
GAT 9344 GS,0,-4
DAY 13A0915C-DU,1,0
GAT 9361 GS,0,-2
DAY 13A0925C,0,-1
MB-2173,0,-6
BTS 130925,0,-1
DAY 13A0965C-U,0,-1
GAT 9386,0,-1
MB-4932,0,-1
GOO 13AV1025 GB,3,0
DAY 13A1150C-DU,4,0
DAY 13A1300C,1,0
GAT 9512 GS,0,-2
DAY 13A1325C,1,0
GAT 9521 GS,0,-14
GAT 9531 GS,0,-26
GAT 9537 GS,0,-2
DAY 13A1375C,5,0
GAT 9541 GS,0,-1
GAT 9561 GS,2,0
CON 13X1425,0,-1
DAY 13A1425C-U,0,-2
MB-375,0,-9
GOO 17601,0,-2
DAY 13A1575C,0,-5
GAT 9628 GS,0,-13
GAT 9642 GS,0,-17
GOO 17710,0,-9
GOO 1678,0,-2
GOO 1975,0,-5
CON 1569,0,-1
GAT 9401,0,-1
CON 13X1025,1,0
DAY 13A1150CPLB-U,0,-4
GAT 2/9632,0,-2
GAT 9364,0,-8
DAY 4PK0980-U,1,0
COR 8PK1380,0,-1
CON 8PK1450,2,0
GOO 8PK-1510,0,-1
GOO 8PK-1525,0,-1
GOO 8PK-1535,0,-1
CON 8PK1545,0,-3
GOO 4080700,0,-3
GAT 8PK1800,0,-1
GOO 4080715,0,-3
CON 8PK1980,1,0
DAY 3PK0905-U,1,0
DAY 8PK1485-U,1,0
VOL 51467,0,-4
DAY 134RHPN170H-U,0,-1
DAY 141RP+254H-U,2,0
DAY 135RHX254-U,0,-1
GAT 2.13.1350,0,-10
GAT 2/9552,0,-4
DAY 8PK1600-U,3,0
DAY 8PK1550-U,2,0
MARI IM11109,0,-1
BEP M136I,1,0
NAK NUJ-12213,0,-1
ZM 3500204,0,-4
SPI 5-12213XS,0,-4
NAK NUJ-12100,0,-1
NAK NUJ-438,0,-1
NAK NUJ-263,1,0
SPI 5-153XS,2,0
NAK NUJL-90,0,-5
SC 603,0,-2
SPI 5-12062X,0,-3
SPI 5-178X,0,-2
KAC K07.03555,127,0
MEC JT-1874,17,0
NAK NUJL-170,2,0
AMA 1544 D,1,0
CON CO-1/314,0,-1
CON CO-1/303,9,0
CON CO-1/316,0,-14
CON CO-1/308,98,0
FCS-SC015 RH,0,-2
FCS-SC015 LH,0,-1
SC-3222,0,-5
FCS-SC026 RH,2,0
SC 1390076,3,0
SC 1354593,1,0
SC 1354594,1,0
FCS-SC026 LH,0,-3
TBP S80.8165,1,0
SIE 408237730R004,1,0
SC-129,1,0
SC 1798674,0,-1
PRIO 1383863,1,0
SC 1383863,0,-1
MB-581,4,0
MB-2626,13,0
MB-590,0,-8
PRIO 3222608545,2,0
ROC 160118-0,1,0
MB-582,0,-1
MB-2632,18,0
FAL 01730,2,0
FAL 30397,0,-1
CIP 244995,0,-1
SC-821,0,-2
SC-853,0,-2
TRA 44893/121,0,-1
BEP B026E AZUL,0,-1
SC-2736,0,-1
MB-5067,0,-1
FCS-SC018 LH,3,0
FCS-SC010 RH,0,-3
AMA 6101 E,0,-1
SC 1381565,3,0
BEP B050Z FUME,3,0
BEP B050X,3,0
BEP B050B,0,-2
BEP B050G FUME,0,-4
CIP 308472,1,0
SC 308472,1,0
SC 1446239,0,-1
TBP S80.8085,0,-1
MB-051,0,-1
MB-583,0,-1
TRA 44132/001,0,-1
TRA 44135/010,0,-1
TRA 44135/011,0,-2
TRA 44135/012,0,-1
TRA 44135/042,0,-2
TRA 44130/053,0,-1
TRA 44130/050,0,-2
TRA 44130/044,0,-1
TRA 44116/013,0,-1
TRA 44250/011,0,-1
TRA 44115/032,0,-3
TRA 44115/013,0,-2
TRA 44115/021,0,-1
TRA 44115/023,0,-1
TRA 44130/032,0,-1
TRA 44130/009,0,-1
TRA 44130/010,1,0
TRA 44130/012,0,-1
TRA 44130/020,0,-4
TRA 44130/022,0,-1
TRA 44130/023,0,-1
MB-584,0,-2
MB-2373,4,0
SC-2,0,-1
SC-4096,0,-1
PRIO 50504,1,0
SC-8,0,-10
REI R-035,0,-5
SC-20,8,0
MB-599,20,0
BIN 31.66.0871.8,0,-6
BIN 31.66.0205.1,0,-1
MB-592,0,-11
BIN 31.66.0363.5,1,0
MB-593,0,-2
MB-585,0,-4
PRIO 50514,2,0
BD 8-1680,0,-1
SC-1617,0,-9
PRIO 50515,0,-2
PRIO 50507,0,-1
SC-1618,0,-13
BIN 31.66.0362.7,2,0
SC 1487612,0,-1
SC-266,0,-1
SC 1354468,0,-1
MB-5677,1,0
GAU GA-1106,0,-1
CIN 14.38.0227,0,-1
SAC 5017,1,0
LUK 325.0002.11,8,0
SAC 5235,1,0
LUK 335.0103.11,34,0
SAC 5535,1,0
LUK 342.0130.10,0,-1
SAC 5345,0,-1
LUK 343.0007.10,1,0
SC-1319,0,-1
LUK 343.0066.11,1,0
SAC 5722,0,-1
SAC 5692,1,0
TRA 42592/004,0,-1
FRU 7003,2,0
FRE BD1940,0,-1
SIE 14024005F,1,0
SIE 14025005F,2,0
CIN 14.38.0071,0,-4
CIN 14.38.1071L,0,-3
EUR 74.53.0044,0,-3
CIN 14.38.0072,18,0
SC 295970.1,3,0
BEP B063M,0,-2
SC-1220,0,-7
POL 50001,0,-1
IND 055,0,-1
CIP 313512,1,0
SC-1121,1,0
SC-1122,0,-1
MB-3596,0,-1
CIN 12.35.0063L,2,0
CIN 12.33.0049,0,-1
SC 1475436,0,-1
CIN 13.33.0100,1,0
BOE 1914,1,0
BOE 5414,17,0
SUP 88.10.026S,0,-2
BOE 5413,13,0
BOE 5313,12,0
MB-5464,0,-1
FAL 31915,0,-1
FAL 33183,1,0
BOE 4616,21,0
BOE 4615,50,0
BOE 908,0,-1
CIN 50.33.1227,49,0
CIN 50.33.1226,46,0
RDA-0393,0,-1
KNO B578162,2,0
KNO B602511,6,0
KNO B571981,8,0
MB-6441,0,-3
CIN 26.33.0028,1,0
ZF 1290.395.013,3,0
MAE 00.132.012,2,0
CIN 14.33.0003,1,0
ZF 1290.395.134,1,0
CIN 14.33.0127,1,0
CIP 1673890,0,-1
SC-4117,0,-10
SC-491,0,-1
FEB 07341,0,-1
SC-1634,28,0
PRIO 002002,1,0
SC-1245,0,-1
SC-1775,0,-1
MB 620-87,0,-2
SC 63087,10,0
ZF 1290.395.369,1,0
CIN 10.33.0456,1,0
CIN 10.33.0312,1,0
